"","tiempo_respuesta","satisfaccion_cliente","numero_quejas","capacitacion_empleado","experiencia_empleado","disponibilidad_servicio","tiempo_respuesta_2","satisfaccion_2","indice_servicio","eficiencia_operativa","clima","dia_semana","calidad_servicio"
"1",11.04,7.2,7.47,6.16,8.59,8.58,10.95,6.5,7.52,-0.52,12.46,3,104.48
"2",7.84,7.16,4.35,5.19,8.43,10.45,7.6,6.28,9.49,1.39,25.72,4,116.54
"3",10.28,7.08,8.71,8.41,10.17,9.08,10.14,6.3,7.38,1.38,21.02,1,107.09
"4",9.83,6.17,1.78,8.1,6.41,7.1,10,5.5,6.88,-0.87,27.17,5,105.64
"5",8.67,6.38,3.45,5.63,6.79,10.29,8.31,6.04,8.45,0.31,22.09,6,105.58
"6",4.97,7.6,6.04,6.26,8.2,8.26,5.1,7.25,8.2,2.49,28.86,6,118.77
"7",8.53,6.69,6.43,6.79,5,8.48,8.74,6.04,8.31,-0.97,19.32,4,103.65
"8",7.96,7.22,5.67,4.96,9.12,11.62,8.53,6.88,9.39,2.58,27.39,4,117.8
"9",10.23,6.49,6.24,4.61,7.94,9.17,10.02,6.2,7.95,-0.28,16.13,2,103.62
"10",9.05,5.53,6.67,6.44,6.15,8.03,8.43,4.96,7.47,0.46,28.64,2,90.24
"11",9.18,8.06,1.66,6.49,5.97,8.44,9.84,7.08,8.48,-1.57,26.74,6,109.63
"12",8.54,6.9,8.59,1.32,8.38,8.89,8.85,5.93,7.65,0.58,22.11,6,87.27
"13",9.56,6.74,3.94,5.4,11.08,9.8,10.17,6.24,8.77,1.75,26.43,7,114.85
"14",9.55,7.42,6.21,5.11,5.47,8.51,10.14,6.73,8.77,-1.61,26.98,6,100.26
"15",4.91,9.11,4.08,6.15,8.12,10.03,4.55,8.08,9.76,2.61,21.24,6,132.35
"16",12.69,7.03,6.87,4.68,6.65,9.78,12.32,6.52,8.52,-2.63,20.9,5,88.55
"17",11.23,8.42,4.24,4.52,9.46,8,11.19,7.85,8.38,0.26,25.63,7,103.98
"18",10.44,7.86,4.81,5.65,12.4,7.23,10.72,6.64,6.94,2.38,28.64,6,108.49
"19",8.39,6.49,6.55,4.95,9.24,9.13,7.37,5.93,7.72,1.57,27.4,5,98.32
"20",11.38,7.64,9.32,6.31,9.36,8.03,11.3,6.68,7.6,0.14,21.33,5,89.36
"21",9.34,7.16,4.26,5.21,9.26,9.83,8.7,6.63,8.8,1.14,20.71,7,110.7
"22",9.67,7.84,6.77,4.39,6.99,9.54,10.43,7.24,8.3,-0.09,19.62,2,101.61
"23",7.22,7.66,3.21,3.84,6.42,9.16,7.69,6.55,8.26,-0.09,31.89,2,105.08
"24",12.93,6.61,6.53,5.9,11.25,10.08,12.94,5.59,8.82,-0.63,23.42,6,103.77
"25",10.1,5.51,3.9,5.75,5.34,7.86,10.44,4.83,6.63,-1.67,20.5,6,88.95
"26",13.82,7.43,6.89,6.02,6.47,10.3,13.29,7.17,8.7,-2.5,28.57,5,84.75
"27",13.46,7.25,6.35,7.54,7.87,11.16,12.89,6.59,9.88,-1.75,27.88,6,110.23
"28",10.12,6.44,7.19,4.19,11.89,7.99,9.78,5.19,6.61,1.97,23.8,7,96.66
"29",11.29,7.59,4.36,7.04,11.48,7.19,11.12,6.62,7.77,0.41,26.28,4,111.14
"30",13.45,6.77,4.62,6.04,11.36,9,13.78,6.3,7.47,0.54,15.75,3,101.36
"31",8.94,8.58,3.98,7.38,9.02,8.25,8.72,7.44,8.09,1.44,17.5,7,111.71
"32",10.33,7.15,3.27,5.01,6.22,11.29,10.34,6.22,9.95,-1.38,31.26,3,109.89
"33",9.49,6.6,3,6.88,7.53,8.28,9.5,5.73,7.99,-0.28,18.83,5,99.39
"34",10.67,8.29,2.9,6.32,6.31,10.51,10.53,7.09,8.83,-0.69,20.06,4,109.45
"35",10.36,4.75,7.07,8.42,8.72,7.88,10.75,4.37,6.01,-0.46,26.75,4,96.44
"36",12.33,6.83,1.73,6.94,9.53,9.26,12.2,5.87,7.62,0.19,28.02,6,113.09
"37",11.19,7.85,3.09,5.84,5.33,9.28,10.79,7.17,8.07,-1.94,35.57,3,95.74
"38",8.22,7.04,4.31,7.69,8.72,9.54,8.77,6.46,7.93,1.64,29.02,3,118.69
"39",11.15,7.02,6.53,8.31,7,8.83,11.49,6.65,8.13,-1.65,15.09,5,99.13
"40",8.35,7.64,1.36,7.6,7.71,7.96,8.98,6.42,7.31,0.15,28.25,1,114.49
"41",7.69,5.71,6.7,7.15,5.55,9.93,7.46,5.08,8.24,0.53,25.31,7,104.79
"42",11.56,6.52,4.62,5.28,10.08,8.43,11.2,5.71,7.76,0.07,29.99,6,103.33
"43",7.59,6.58,5.57,5.93,7.38,9.76,6.9,6.01,7.89,0.6,26.46,3,105.92
"44",10.61,6.64,3.81,4.3,7.6,7.23,11.38,6.69,6.48,-0.5,20.42,5,92.99
"45",8.33,7.93,4.36,6.01,4.84,10.24,7.92,7.17,10.07,-0.67,15.73,5,104.56
"46",12.84,6.48,6.19,7.62,6.57,9.61,13.39,5.85,8.1,-3.41,27.9,1,90.32
"47",11.42,6.82,5.63,5.84,7.19,10.86,11.55,5.76,8.37,-1.37,28.06,5,99.12
"48",9.2,6.21,4.18,5.03,5.51,8.29,8.96,5.52,7.1,-1.63,22.25,2,93.15
"49",11.6,5.36,2.33,7.68,7.33,8.34,12,4.62,6.25,-1.45,19.35,4,108.57
