edad,salud,sueno,estres,ingreso,familia,amigos,recreacion,promedio,estudio,autoestima,optimismo,felicidad
28,2,1,5,5012,4,4,23,66,39,2,10,0
24,1,1,2,4582,4,0,17,72,39,7,4,0
25,10,5,1,3615,7,10,8,69,18,6,2,1
19,7,2,6,6635,10,8,25,62,34,9,2,1
24,2,9,5,11299,10,11,18,72,9,1,4,1
30,5,2,4,2654,7,8,14,100,28,3,6,1
23,4,5,2,10980,3,7,5,89,29,5,9,1
21,6,1,4,1525,6,12,8,64,18,10,6,0
21,8,7,8,3340,5,4,7,95,39,5,10,1
24,10,7,6,4593,3,15,2,63,12,3,3,0
30,7,10,2,7304,7,14,16,76,40,1,2,1
28,9,5,6,2827,5,13,5,89,5,5,9,1
30,3,9,2,11244,5,6,4,83,15,9,9,1
18,10,6,8,1319,2,11,25,79,20,1,4,0
27,2,2,8,2133,9,4,4,90,40,3,5,0
26,10,7,4,9835,4,9,12,83,33,9,8,1
19,4,4,2,6539,1,7,18,74,5,2,1,0
21,2,1,6,2160,9,7,8,91,18,9,3,0
29,10,10,8,4981,8,13,6,66,11,7,6,1
24,7,8,1,11706,2,1,12,81,11,4,4,1
21,9,8,3,7912,3,8,14,75,9,8,9,1
19,1,9,1,2528,4,5,13,91,35,4,7,1
18,3,7,1,7396,5,14,9,87,40,8,3,1
21,5,4,1,10489,9,1,23,80,8,1,10,1
25,9,9,3,1931,9,2,5,64,9,4,7,1
19,10,4,10,10740,1,2,13,97,38,6,5,1
21,6,4,5,7484,3,9,14,80,9,1,8,0
27,10,2,2,9808,4,8,4,82,9,4,6,1
22,3,8,9,5956,10,0,21,95,24,2,3,0
22,2,2,9,3546,5,9,19,73,26,4,5,0
26,8,5,1,2512,7,8,1,60,26,3,5,0
20,8,9,7,10189,1,3,2,69,39,1,6,0
27,9,3,7,3088,1,9,11,62,27,4,4,0
28,2,6,9,7658,10,4,7,70,16,7,1,0
20,6,7,4,5371,3,3,12,62,35,4,4,0
25,6,5,4,4652,1,6,12,81,22,2,5,0
23,9,7,9,6425,1,3,8,71,21,1,2,0
27,7,6,6,8149,10,3,12,96,17,5,1,1
29,7,1,9,9821,4,11,13,64,26,10,6,1
28,2,5,9,6067,7,10,12,78,40,3,4,0
24,7,3,10,10324,5,12,17,60,24,5,4,0
24,10,10,6,8618,8,14,21,73,37,8,3,1
28,2,5,9,11876,10,10,2,75,24,4,4,0
20,1,1,4,8784,10,2,14,86,17,7,8,1
24,4,3,1,2746,7,7,5,93,34,1,9,1
21,2,8,3,8612,9,10,24,88,37,7,9,1
25,3,8,8,5246,4,8,24,93,36,4,5,1
25,2,5,4,5451,6,10,17,65,13,3,4,0
24,3,4,2,7797,7,10,17,89,31,1,4,1
24,7,10,1,10432,7,15,0,82,24,7,7,1
26,9,10,4,8999,4,8,13,91,6,7,6,1
28,7,3,8,3091,10,0,12,97,6,2,7,0
20,8,3,1,5262,7,10,6,89,25,6,7,1
22,7,5,2,8705,1,1,11,74,9,1,1,0
21,4,1,10,3496,4,4,15,67,18,8,5,0
30,6,3,10,10949,2,5,9,66,6,5,10,0
28,7,7,4,2245,10,7,3,79,12,10,1,1
23,9,7,6,2129,9,10,0,86,36,2,7,1
23,8,3,7,3885,9,8,19,94,35,8,7,1
29,10,5,6,5022,2,8,14,75,34,10,10,1
28,7,6,1,9098,6,5,15,73,27,5,6,1
22,10,5,9,1166,9,6,2,75,31,8,9,1
30,4,8,8,8342,1,2,9,74,30,4,5,0
28,10,6,8,10068,9,11,13,95,26,6,8,1
22,5,5,4,2976,4,10,3,94,16,4,4,0
29,8,5,10,9595,10,9,3,72,23,4,6,1
20,5,1,9,3073,5,1,1,95,23,3,8,0
19,1,10,5,8690,8,14,10,71,8,5,8,1
19,2,7,8,2213,10,1,4,69,24,2,4,0
19,9,7,10,10766,10,7,24,93,29,8,8,1
22,10,7,5,10316,10,1,19,66,18,4,5,1
28,2,3,4,3847,9,2,5,60,31,8,10,0
25,5,1,4,5720,5,14,2,74,21,10,4,0
24,2,9,4,11610,3,8,4,64,8,3,5,0
27,10,5,8,3037,8,9,22,85,22,9,9,1
25,8,2,10,1653,7,10,19,76,6,2,4,0
28,10,10,1,5415,10,1,24,71,35,9,8,1
22,3,10,7,11400,8,2,15,82,31,6,6,1
28,2,3,6,7744,8,9,21,85,40,1,8,1
19,6,5,6,2899,7,0,21,94,34,7,1,1
21,9,6,10,9167,8,1,6,77,40,3,5,1
25,8,2,1,11322,10,7,22,70,24,9,1,1
26,7,2,4,2858,8,3,20,69,36,5,9,1
29,5,7,8,8736,4,14,17,69,29,4,10,1
26,3,2,5,7798,6,8,0,78,24,10,10,1
28,8,3,8,9824,8,11,10,95,39,7,8,1
23,4,4,10,7274,4,13,1,80,35,7,7,0
28,3,8,1,3068,9,10,3,88,11,9,8,1
18,3,7,3,2225,8,8,10,99,30,2,6,1
28,9,7,6,11269,8,1,19,64,20,5,4,1
29,2,7,2,11383,2,14,5,79,6,1,6,0
30,1,5,6,7141,7,4,7,93,31,10,3,0
20,3,2,10,7267,10,7,15,97,14,4,8,1
28,5,8,5,11925,1,14,9,94,15,2,8,1
23,10,5,7,5097,8,9,6,84,35,2,4,1
24,10,6,10,5847,5,0,21,85,22,1,10,1
28,1,10,8,5689,4,11,7,100,17,10,5,1
28,3,2,1,6061,8,1,18,83,13,2,5,0
23,7,3,4,3165,9,11,16,92,22,3,5,1
25,5,6,2,8673,2,4,24,74,30,9,6,1
19,7,1,5,9791,2,14,11,76,29,6,2,1
28,4,8,1,11150,9,10,19,74,9,8,5,1
28,7,2,3,1742,1,9,15,67,11,4,9,0
20,7,8,6,11985,9,13,18,69,31,2,8,1
27,7,5,1,7070,4,14,14,75,28,2,6,1
26,6,1,7,5520,4,3,14,65,18,10,1,0
18,6,4,3,10250,4,2,24,95,18,10,4,1
21,6,3,10,1046,5,4,4,94,21,3,2,0
28,1,3,1,6869,4,10,0,71,21,1,3,0
29,7,9,2,2041,8,14,24,83,37,10,2,1
25,9,4,10,1710,9,9,14,61,8,8,7,0
24,2,8,8,2204,2,10,19,69,9,3,5,0
27,10,9,6,7240,10,9,14,92,32,2,2,1
28,9,4,7,8398,4,13,10,89,30,7,2,1
23,7,6,5,7132,3,15,2,65,10,2,7,0
19,6,3,9,1982,10,10,21,67,31,6,7,1
29,1,5,10,6119,6,3,18,92,18,3,8,0
21,2,6,9,7022,2,8,18,74,32,9,10,1
27,9,1,10,11777,5,0,5,77,24,6,6,0
18,3,3,10,11769,7,2,4,100,6,2,9,0
21,7,7,8,6585,3,11,9,80,10,1,3,0
20,10,1,2,5458,8,13,15,98,33,7,5,1
21,9,2,6,8043,2,9,21,97,36,9,5,1
18,4,7,10,1897,1,6,9,73,13,5,5,0
23,2,1,8,8055,3,4,12,94,19,9,9,0
28,6,2,7,1693,7,0,14,64,25,10,7,0
27,7,7,5,2887,7,0,10,70,34,6,2,0
24,2,4,7,10648,7,2,12,79,26,4,6,0
