temperatura,presion,velocidad_linea,humedad,vibracion,consumo_energia,experiencia_operador,mantenimiento_dias,espesor_material,dureza_material,calidad
87.454,194.3595,68.3431,83.9505,6.5431,549.7032,13.2681,46.3501,10.5974,445.8545,Alta
145.0714,215.4358,25.5148,56.7752,0.8003,772.0721,8.646,28.8687,7.546,110.5159,Baja
123.1994,122.5795,88.5155,70.7437,2.4233,606.4001,9.9663,47.3375,1.7799,464.3988,Media
109.8658,186.2286,65.1805,50.5234,7.7368,174.9723,14.6178,4.4105,13.8591,222.2981,Media
65.6019,177.1968,24.1483,64.1024,5.2869,267.0222,17.6498,11.4956,14.7246,303.2891,Alta
65.5995,221.5812,96.6104,43.8403,9.2797,297.3954,6.1722,33.0921,7.0346,152.9182,Baja
55.8084,234.0348,56.6529,41.0811,4.2875,332.0778,7.4995,56.8253,9.5913,460.902,Baja
136.6176,82.0667,16.5609,60.4761,8.6981,608.8631,18.684,4.4855,7.3042,399.9345,Baja
110.1115,194.5834,66.415,54.8691,4.4896,553.5692,11.9917,2.5851,5.5063,469.6622,Media
120.8073,88.8121,32.7879,60.5675,9.7925,282.844,4.4003,9.393,2.0825,373.2916,Baja
52.0584,173.306,82.3324,40.0662,9.5983,160.7994,13.6102,38.4692,7.3849,173.8775,Baja
146.991,128.8976,83.604,45.687,3.2914,254.289,19.8245,23.9396,12.4574,223.3068,Media
133.2443,132.152,98.1053,25.8729,8.8592,985.9432,16.6456,49.5331,1.2384,294.7394,Media
71.2339,140.0029,55.1683,23.6593,8.4761,521.6923,15.1691,4.316,9.1495,342.9033,Media
68.1825,185.6197,50.9461,37.742,2.1068,880.611,4.9529,11.7848,13.3308,470.5838,Alta
68.3405,136.7885,77.8128,25.1973,6.2429,863.8772,17.6467,18.0016,4.0457,253.5806,Media
80.4242,204.5588,21.9224,27.2642,0.7268,560.3676,10.99,37.6038,3.5656,381.2288,Media
102.4756,148.7697,59.2224,76.905,8.3671,736.0189,17.8965,41.1104,11.8119,484.4035,Alta
93.1945,91.62,59.1623,22.7212,1.7455,273.4768,7.2667,7.4522,4.5712,160.9496,Media
79.1229,213.2392,18.0526,66.126,0.7081,719.557,2.179,56.6283,3.6878,445.0838,Media
111.1853,128.5789,47.6186,39.079,4.0022,345.1461,10.0435,20.4626,6.2918,268.2824,Alta
63.9494,153.5704,86.7956,81.0082,5.7692,848.8559,6.1269,42.7901,6.495,392.9687,Alta
79.2145,196.5255,87.0538,53.9495,8.5492,175.3517,14.5894,31.4525,13.2374,217.4153,Media
86.6362,136.5175,18.9314,41.3904,9.7424,795.8248,19.185,13.3655,9.6582,233.5937,Media
95.607,89.6196,18.1649,56.2347,4.3949,189.9432,14.1285,50.7737,6.6835,110.8533,Baja
128.5176,143.5666,33.6426,46.7371,0.6045,893.0703,17.8517,49.0943,8.4814,488.5617,Alta
69.9674,240.5563,88.7289,59.5011,7.4912,373.7841,9.6075,23.7643,14.3555,425.381,Baja
101.4234,189.0948,21.6012,28.0173,5.6517,688.954,15.6612,35.3165,2.585,137.5672,Alta
109.2415,194.1515,74.7997,89.7893,4.4789,538.7521,17.0178,15.4695,3.908,499.8035,Alta
54.645,187.488,19.1049,49.7889,3.0927,429.6728,14.5066,41.3911,14.4754,342.0098,Alta
110.7545,113.8287,66.0824,44.3761,5.024,680.8976,10.6478,18.5416,14.4025,441.4915,Alta
67.0524,151.1168,42.0461,69.7147,3.3868,952.7707,12.8915,50.6447,3.4803,126.6643,Alta
