edad,experiencia_mlb,estatura_cm,peso_kg,velocidad_swing,fuerza,precision_contacto,vision_dinamica,agilidad,tiempo_reaccion,pct_bateo
39,21,176.8,76.4,104.6,86.8,87.0,77.3,72.7,0.253,0.297
39,18,178.1,95.5,113.8,95.7,74.4,81.3,75.7,0.25,0.283
28,6,170.5,97.3,124.9,89.1,80.9,77.1,74.9,0.275,0.303
25,6,174.2,88.5,112.7,88.3,81.9,81.7,72.1,0.286,0.289
28,8,183.0,89.0,106.2,87.6,81.7,74.8,71.0,0.231,0.269
39,19,191.4,110.0,108.0,76.7,83.1,80.2,73.9,0.258,0.285
38,16,173.7,77.6,110.1,88.9,76.4,72.8,73.4,0.256,0.278
23,4,192.7,88.4,108.2,83.6,82.0,79.1,82.9,0.286,0.281
27,5,184.1,79.3,111.5,99.5,72.6,77.9,73.3,0.268,0.272
37,14,188.1,76.7,111.5,81.2,88.2,72.5,74.2,0.268,0.296
23,4,190.9,99.1,95.7,70.8,83.5,77.1,80.4,0.236,0.266
26,6,177.5,91.2,111.6,81.6,78.9,75.5,74.3,0.256,0.29
28,5,193.2,91.5,115.3,76.7,81.6,76.4,73.3,0.271,0.277
34,15,179.3,78.7,116.1,80.3,84.3,71.8,76.0,0.288,0.285
28,9,190.6,81.6,112.2,80.0,86.0,81.2,81.8,0.28,0.305
36,13,180.7,81.0,111.2,83.3,70.9,82.8,70.2,0.267,0.267
35,17,183.3,79.9,118.4,82.8,74.2,78.9,78.4,0.288,0.272
35,17,179.5,89.9,110.9,78.4,82.1,79.3,76.8,0.264,0.282
29,8,183.5,81.5,115.4,84.8,79.5,82.3,75.0,0.254,0.289
31,13,197.5,68.1,115.3,81.4,81.7,81.1,80.0,0.243,0.297
33,15,164.8,85.4,122.0,78.2,82.7,79.9,71.1,0.256,0.298
25,7,172.8,82.7,107.5,84.7,81.1,77.5,74.6,0.289,0.268
26,8,180.7,85.9,115.6,75.2,77.1,80.5,78.1,0.272,0.289
35,15,181.1,72.6,110.7,86.2,79.2,81.4,73.3,0.272,0.288
24,1,185.1,87.4,122.7,87.5,75.7,81.1,74.9,0.253,0.291
26,8,192.0,74.6,132.4,78.1,83.2,84.4,74.3,0.262,0.317
29,10,197.6,76.7,99.2,84.6,75.9,83.9,72.3,0.271,0.251
28,5,188.5,90.3,110.0,74.8,77.8,81.9,68.5,0.259,0.269
31,8,177.7,94.4,99.6,81.3,72.5,76.7,78.1,0.255,0.25
37,16,175.5,92.0,101.3,83.0,76.5,79.0,72.6,0.255,0.262
