"horas_estudio","tiempo_lectura","horas_sueno","uso_redes","motivacion","asistencia","nivel_socioeconomico","apoyo_familiar","estres","rendimiento_academico"
9,9,8,6,2,71,3,8,5,77.96
1,1,6,4,10,74,5,4,1,81.15
6,6,9,7,7,91,2,1,4,84.74
4,4,5,6,5,69,5,8,5,84.77
5,5,6,5,7,62,3,2,2,82.41
10,10,5,8,2,62,5,4,5,79.28
2,1,6,6,3,94,4,9,7,80.93
8,8,5,5,5,60,3,1,10,84.28
3,1,5,8,3,72,1,4,6,79.61
1,1,4,5,3,79,5,3,1,76.11
10,10,5,3,9,61,3,9,2,89.01
6,6,6,4,10,75,1,9,4,89.54
2,2,6,3,9,83,3,9,9,85.28
2,3,7,1,1,68,5,8,7,76.57
5,8,7,4,7,70,5,5,10,89
8,9,9,4,2,65,4,7,3,76.81
5,5,9,7,4,84,3,5,2,81.81
3,4,7,7,2,66,5,10,5,80.95
3,3,6,3,5,76,3,10,2,80.69
3,3,8,1,2,90,5,3,1,75.61
10,7,5,6,4,81,5,3,7,81.67
4,3,5,6,10,75,3,2,2,87.51
8,8,5,7,8,82,2,9,6,90.83
2,1,9,7,1,61,2,1,3,73.49
2,1,8,5,9,88,2,10,9,86.73
9,9,5,3,5,75,3,6,10,85.02
5,5,8,7,10,77,3,9,10,95.38
9,8,8,7,8,62,1,3,6,87.39
2,1,6,5,8,71,4,6,4,82.44
9,10,6,6,2,66,1,9,2,77.4
7,6,7,3,10,86,2,2,8,89.88
2,4,8,6,3,80,5,2,1,77.86
5,4,4,2,5,66,1,2,1,78.05
5,5,8,1,9,84,3,1,10,88.77
4,5,4,7,1,93,2,6,8,80.49
1,2,8,7,7,78,4,6,1,80.95
8,8,7,2,3,64,5,2,6,77.58
9,10,4,8,4,91,3,8,4,84.87
3,3,8,8,5,90,3,2,6,83.04
9,8,7,3,8,71,1,8,6,86.52
7,8,4,1,10,100,3,1,8,91.83
4,4,6,7,9,68,3,8,6,88.9
9,7,6,7,8,73,4,9,7,91.87
6,6,4,8,4,91,1,3,8,83.7
4,4,7,2,3,95,4,2,3,77.26
9,9,5,7,6,83,4,7,8,89.11
1,2,7,6,1,71,3,7,2,75.04
8,6,4,6,10,68,2,10,2,92.55
6,6,5,2,5,61,4,3,10,84.6
4,1,5,5,6,75,5,10,8,86.29
8,8,4,2,1,96,2,7,7,76.07
6,6,8,6,7,73,2,1,1,83.67
8,8,5,7,4,84,2,8,8,85.14
6,6,6,8,4,80,2,4,10,86.81
1,2,9,5,5,61,2,8,8,78.34
3,3,4,3,5,86,2,6,1,79.38
7,7,8,4,4,74,2,10,10,85.21
1,1,5,7,1,88,1,1,10,77.82
1,1,5,8,9,83,5,4,1,83.53
4,4,5,5,4,81,1,8,2,79.95
6,6,6,8,1,61,2,9,2,79.52
5,6,5,3,6,93,3,6,10,87.61
1,1,8,7,2,82,3,6,1,76.24
3,3,9,4,7,61,5,6,7,83.21
4,4,7,3,5,63,5,10,10,86.23
1,1,9,8,9,64,4,8,3,83.02
8,8,7,6,7,80,3,2,3,85.39
5,5,7,2,8,88,5,2,8,87.25
5,6,9,5,10,62,3,6,4,88
4,4,4,4,9,94,1,8,7,87.38
5,3,6,4,4,84,5,8,7,82.92
1,1,9,3,2,60,5,7,7,74.86
10,10,7,4,4,100,1,1,6,78.27
3,4,8,5,5,62,4,9,7,82.67
5,3,7,6,4,60,4,10,1,83.17
3,3,9,7,5,74,3,3,8,82.13
1,2,9,4,6,75,1,3,2,75.6
6,5,9,2,10,92,1,1,7,87.53
2,2,6,7,5,99,5,4,4,82.18
4,3,4,3,5,75,3,7,10,84.38
2,3,4,6,6,74,4,7,4,81.51
1,1,5,5,1,93,5,1,2,74.15
4,3,7,6,5,86,3,3,3,81.47
10,10,5,8,2,95,4,8,10,84.46
5,5,8,7,8,64,3,4,5,86.92
2,1,8,6,1,82,1,5,2,74.4
4,5,7,1,5,81,4,3,10,84.27
5,4,4,4,1,68,2,10,2,76.56
9,9,5,1,1,91,3,9,5,75.56
1,3,8,6,3,92,1,9,7,78.4
1,4,6,2,6,99,3,4,5,77.05
9,8,9,4,3,63,3,6,3,76.78
8,9,8,5,1,79,5,2,1,75.54
9,8,5,2,8,69,1,2,7,85.27
3,4,7,6,1,87,3,10,4,78.16
5,5,6,2,5,87,1,6,5,80.51
2,1,6,1,10,89,4,8,10,87.55
8,6,7,8,2,67,3,6,8,81.12
9,9,7,3,10,64,1,3,3,88.23
3,3,5,3,4,88,1,5,6,77.15
10,10,5,7,10,85,3,2,2,92.6
2,1,7,1,6,94,3,2,10,81.73
1,2,5,3,9,73,1,4,1,78.37
2,4,7,8,4,62,2,8,2,80.45
10,10,6,5,7,71,4,10,10,92.08
10,9,6,7,10,72,1,9,5,93.05
8,8,6,2,3,85,5,3,5,78.71
5,4,5,5,7,71,2,10,6,86.37
10,8,9,2,2,97,5,4,5,74.65
6,7,7,1,4,69,2,2,8,80.41
3,1,7,5,3,82,3,5,8,79.6
5,6,9,8,5,67,4,7,8,87.2
2,2,5,7,1,94,2,6,6,77.94
5,4,8,8,6,95,1,9,3,86.23
4,3,9,3,9,68,5,10,6,86.79
5,6,5,7,6,94,3,7,3,86.44
2,4,6,7,8,91,5,9,3,86.17
8,8,8,7,2,73,1,6,6,78.46
6,7,4,8,7,78,1,2,5,86.22
7,7,4,7,10,64,5,8,5,93.64
8,7,8,7,6,89,2,1,3,84.11
1,2,6,7,10,94,5,9,4,85.62
4,4,9,3,10,61,4,6,7,87.46
8,9,7,6,3,74,1,2,6,77.97
4,3,9,5,3,99,2,9,2,79.5
8,8,7,3,6,100,3,1,2,83.09
3,2,7,8,3,68,3,7,4,80.36
6,6,4,8,4,60,4,7,5,83.88
6,7,6,5,6,69,5,10,10,90.59
6,5,4,4,5,99,3,6,7,84.15
6,5,5,4,1,77,5,10,9,81.21
1,1,5,3,6,94,2,10,2,78.17
4,5,9,2,6,73,5,6,7,83.07
3,3,6,6,7,97,4,3,7,85.3
