"","id","edad","genero","carrera","semestre","promedio","creditos","asistencia","estudio","videojuegos","deporte","dormir","trabajo","ingresos","condicion","modalidad","extra_escolar","seleccionado","transporte","traslado","internet","tutorias","beca","perfil_simulado"
"1","E0001",20,"Femenino","Civil",4,90,133,90,16,5,9,8,0,16265,"Media","Hibrida","Arte","SI","Bicicleta",64,"Bueno","NO","NO","Alto_desempeno_integral"
"2","E0002",18,"Femenino","Administracion",1,72,36,76,7,7,6,7,19,24195,"Media","Hibrida","Ninguna","NO","Auto",27,"Bueno","NO","NO","Academico_moderado"
"3","E0003",23,"Femenino","Administracion",7,77,255,64,2,21,1,6,34,10118,"Media","Hibrida","Arte","NO","Auto",53,"Limitado","SI","SI","Riesgo_academico"
"4","E0004",23,"Femenino","Sistemas",8,90,278,94,17,8,12,7,9,21557,"Alta","Hibrida","Deporte","SI","Publico",12,"Bueno","NO","NO","Alto_desempeno_integral"
"5","E0005",18,"Masculino","Mecatronica",5,86,206,82,12,4,8,8,13,18141,"Media","Hibrida","Voluntariado","NO","Caminando",38,"Bueno","NO","SI","Academico_moderado"
"6","E0006",20,"Femenino","Civil",6,67,257,74,2,10,0,6,27,17138,"Baja","Presencial","Ninguna","NO","Publico",9,"Limitado","SI","NO","Riesgo_academico"
"7","E0007",24,"Femenino","Administracion",1,90,12,100,25,1,8,7,0,12379,"Media","Hibrida","Arte","NO","Publico",35,"Regular","NO","SI","Alto_desempeno_integral"
"8","E0008",23,"No especifica","Mecatronica",7,66,259,62,5,17,1,4,26,5741,"Baja","Hibrida","Ninguna","NO","Caminando",17,"Regular","NO","SI","Riesgo_academico"
"9","E0009",18,"Femenino","Industrial",10,73,377,79,9,16,0,4,12,4186,"Alta","Hibrida","Ninguna","NO","Auto",37,"Bueno","NO","NO","Jugador_digital"
"10","E0010",19,"Femenino","Administracion",4,78,133,65,12,8,6,6,27,18322,"Media","Presencial","Ninguna","NO","Auto",49,"Regular","NO","SI","Trabaja_y_estudia"
"11","E0011",26,"Masculino","Sistemas",6,77,229,92,2,3,3,7,19,13657,"Alta","Presencial","Voluntariado","NO","Auto",35,"Bueno","NO","NO","Academico_moderado"
"12","E0012",21,"Femenino","Mecatronica",3,74,118,79,11,13,4,7,0,15917,"Media","Presencial","Cultural","NO","Caminando",5,"Regular","NO","NO","Academico_moderado"
"13","E0013",19,"Masculino","Administracion",4,80,162,95,8,11,5,7,14,6690,"Baja","Presencial","Voluntariado","SI","Auto",32,"Regular","NO","NO","Academico_moderado"
"14","E0014",20,"Femenino","Sistemas",7,63,260,71,4,15,2,7,50,14068,"Baja","Presencial","Ninguna","NO","Publico",32,"Bueno","SI","SI","Riesgo_academico"
"15","E0015",24,"Femenino","Administracion",6,89,254,92,29,4,6,8,0,19067,"Media","Presencial","Cultural","SI","Auto",24,"Bueno","NO","NO","Alto_desempeno_integral"
"16","E0016",18,"Femenino","Sistemas",4,78,149,99,10,7,2,7,14,23393,"Media","Presencial","Deporte","SI","Auto",28,"Bueno","NO","NO","Academico_moderado"
"17","E0017",21,"Masculino","Sistemas",5,74,183,75,9,25,2,4,5,14233,"Baja","Hibrida","Ninguna","NO","Auto",47,"Bueno","NO","NO","Jugador_digital"
"18","E0018",21,"Masculino","Mecatronica",7,81,243,84,11,12,2,6,4,23538,"Alta","Presencial","Ninguna","NO","Auto",10,"Limitado","NO","NO","Academico_moderado"
"19","E0019",24,"Masculino","Electronica",5,71,214,60,2,4,1,6,37,20740,"Baja","Presencial","Ninguna","NO","Publico",25,"Limitado","NO","SI","Trabaja_y_estudia"
"20","E0020",20,"Masculino","Mecatronica",10,65,380,60,2,16,1,6,0,18064,"Media","Presencial","Deporte","NO","Caminando",63,"Limitado","NO","SI","Riesgo_academico"
"21","E0021",20,"Femenino","Administracion",2,90,65,94,20,1,8,8,5,28775,"Alta","Hibrida","Arte","SI","Publico",46,"Bueno","SI","SI","Alto_desempeno_integral"
"22","E0022",22,"Masculino","Civil",3,89,113,94,29,8,8,6,1,33943,"Baja","Presencial","Arte","SI","Caminando",60,"Bueno","NO","NO","Alto_desempeno_integral"
"23","E0023",18,"Femenino","Industrial",1,74,0,99,11,7,0,7,8,12671,"Media","Hibrida","Arte","NO","Auto",43,"Limitado","NO","NO","Academico_moderado"
"24","E0024",22,"Masculino","Industrial",2,69,98,76,4,15,2,7,11,5003,"Media","Presencial","Ninguna","NO","Publico",30,"Bueno","SI","NO","Jugador_digital"
