x,y_real,y_pred,residuos
1.0,7.14,8.0,-0.86
1.31,6.15,8.93,-2.79
1.62,10.49,9.86,0.62
1.93,10.77,10.79,-0.03
2.24,14.62,11.72,2.9
2.55,13.25,12.66,0.6
2.86,11.93,13.59,-1.66
3.17,11.32,14.52,-3.19
3.48,16.68,15.45,1.23
3.79,15.74,16.38,-0.64
4.1,17.16,17.31,-0.15
4.41,17.02,18.24,-1.22
4.72,15.17,19.17,-4.0
5.03,21.92,20.1,1.82
5.34,22.0,21.03,0.97
5.66,22.41,21.97,0.44
5.97,24.22,22.9,1.33
6.28,21.34,23.83,-2.49
6.59,28.7,24.76,3.94
6.9,25.05,25.69,-0.64
7.21,27.34,26.62,0.72
7.52,29.04,27.55,1.49
7.83,23.03,28.48,-5.45
8.14,32.76,29.41,3.35
8.45,30.46,30.34,0.11
8.76,27.88,31.28,-3.4
9.07,31.48,32.21,-0.72
9.38,38.6,33.14,5.46
9.69,33.59,34.07,-0.48
10.0,32.15,35.0,-2.85
