fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,indice_alcohol_acidez,balance_azucar_acidez,indice_mineralidad,potencial_alcoholico,relacion_SO2,alcohol_2,density_2,sugar_2,acidez_2,alcohol_sulphates,density_sugar,acidez_pH,alcohol_acidez_volatil,quality
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,1.2571,73.9286,0.495,8.8088,0.2632,77.44,1.002,428.49,49.0,3.96,20.7207,21.0,2.376,6
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,1.5079,5.1613,0.539,9.443,0.1053,90.25,0.988,2.56,39.69,4.655,1.5904,20.79,2.85,6
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,1.2469,23.7931,0.49,10.0505,0.3061,102.01,0.9902,47.61,65.61,4.444,6.8662,26.406,2.828,6
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,1.375,35.4167,0.458,9.8564,0.2513,98.01,0.9912,72.25,51.84,3.96,8.4626,22.968,2.277,6
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,1.375,35.4167,0.458,9.8564,0.2513,98.01,0.9912,72.25,51.84,3.96,8.4626,22.968,2.277,6
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,1.2469,23.7931,0.49,10.0505,0.3061,102.01,0.9902,47.61,65.61,4.444,6.8662,26.406,2.828,6
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,1.5484,21.2121,0.515,9.551,0.219,92.16,0.9898,49.0,38.44,4.512,6.9643,19.716,3.072,6
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,1.2571,73.9286,0.495,8.8088,0.2632,77.44,1.002,428.49,49.0,3.96,20.7207,21.0,2.376,6
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,1.5079,5.1613,0.539,9.443,0.1053,90.25,0.988,2.56,39.69,4.655,1.5904,20.79,2.85,6
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,1.358,6.5217,0.494,10.9318,0.2154,121.0,0.9876,2.25,65.61,4.95,1.4907,26.082,2.42,6
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,1.4815,5.1786,0.593,11.8896,0.1719,144.0,0.9817,2.1025,65.61,6.72,1.4367,24.219,3.24,5
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,1.1279,17.5,0.565,9.6486,0.1545,94.09,0.9894,17.64,73.96,5.141,4.1777,27.004,2.231,5
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,1.3671,6.3158,0.67,10.7136,0.2105,116.64,0.9841,1.44,62.41,6.804,1.1904,25.122,1.944,5
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,1.8788,8.8235,0.564,12.2909,0.3333,153.76,0.9825,2.25,43.56,6.448,1.4868,23.364,1.984,7
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,1.1687,44.7674,0.71,9.7019,0.237,94.09,1.0004,370.5625,68.89,6.499,19.2538,24.734,4.074,5
